,,,,,,,,,,,,,
,,,,,,,,,,,,,
Expenditure over £500,,,,,,,,,,,,,
<<For the period from 01 April 2017 to 30 June 2017>>,,,,,,,,,,,,,
,,,,,,,,,,,,,
Service Area,,Expenditure Catergory,,Expenditure Code,Description,,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name,
Assistant Chief Executive,,General Stationery Supplies,,D3301,HANDS OFF OXFORD CAMPAIGN,,11/04/2017,1036443 - 1,"1,450.00",Revenue,20011523,HERALD CHASE,
Assistant Chief Executive,,Postage & Carriage,,D3501,HANDS OFF OXFORD CAMPAIGN,,11/04/2017,1036443 - 2,"20,192.16",Revenue,20011523,HERALD CHASE,
Assistant Chief Executive,,Grants,,D3701,contribution to the Loneliness and Isolation conference on 12.05.17 plus follow up work,,25/04/2017,1036444 - 0,"1,000.00",Revenue,20016727,AGE UK OXFORDSHIRE,
Assistant Chief Executive,,Temporary Bureau Staffing,,A0108,Interim management services ,,11/04/2017,1036673 - 0,"16,330.00",Revenue,20016203,PENNA PLC,
Assistant Chief Executive,,Advertising & Publicity,,D3802,MJ MAGAZINE SUPPLEMENT,,25/04/2017,1036824 - 0,"14,950.00",Revenue,20004336,HEMMING GROUP LTD,
Assistant Chief Executive,,Grants,,D3701,"RF 2844 - healthy, accessible, affordable food for The Leys",,16/05/2017,1036906 - 1,"6,000.00",Revenue,20013670,RESOURCE FUTURES LTD,
Assistant Chief Executive,,Staff Advertising,,A0702,GUARDIAN: DESKTOP EDITION- RECRUITER SERVICES 1,,03/05/2017,1037022 - 0,"1,950.00",Revenue,20015377, GUARDIAN NEWS & MEDIA LTD,
Assistant Chief Executive,,Away Days,,A0635,Room hire 22/03/2017,,06/06/2017,1037294 - 0,510,Revenue,20011651,UNIVERSITY OF OXFORD,
Assistant Chief Executive,,General Contracted Services,,D3401,Filming 24.04.2017,,31/05/2017,1037394 - 0,"1,300.00",Revenue,20015995,OXFORD DIGITAL MEDIA LTD,
Assistant Chief Executive,,General Contracted Services,,D3401,Smart Oxford Competition Payment 1,,31/05/2017,1037407 - 0,"5,000.00",Revenue,20019473,WATERSHED ARTS TRUST LTD,
Assistant Chief Executive,,Temporary Bureau Staffing,,A0108,Interim staff,,16/05/2017,1037424 - 0,"12,070.00",Revenue,20016203,PENNA PLC,
Assistant Chief Executive,,Consultants Fees,,D3411,Interim Management Services  - March 2017,,31/05/2017,1037457 - 0,"6,930.00",Revenue,20016203,PENNA PLC,
Assistant Chief Executive,,Consultants Fees,,D3411,Interim Management Services - April 2017,,31/05/2017,1037458 - 0,"9,240.00",Revenue,20016203,PENNA PLC,
Assistant Chief Executive,,General Contracted Services,,D3401,FILMING COUNCIL CHAMBER & MAYOR MAKING 15/5/17,,13/06/2017,1037749 - 1,850,Revenue,20015995,OXFORD DIGITAL MEDIA LTD,
Assistant Chief Executive,,General Contracted Services,,D3401,ROYAL VISIT VIDEO,,06/06/2017,1037764 - 0,580,Revenue,20017948,INSPIRING DRAMA (THOMAS BROOKS),
Assistant Chief Executive,,Main Contractor,,Y021,Consultancy activities ,,06/06/2017,1037872 - 0,"4,550.00",Capital,20019436,REGIONAL NETWORKING SOLUTIONS LTD,
Assistant Chief Executive,,Staff Advertising,,A0702,27/04/17 Quarter page,,27/06/2017,1037957 - 0,"2,950.00",Revenue,20004336,HEMMING GROUP LTD,
Assistant Chief Executive,,General Contracted Services,,D3401,Vuelio -  additional users,,13/06/2017,1037971 - 0,"4,800.00",Revenue,20019600,ACCESS INTELLIGENCE MEDIA & COMMUNICATIONS LTD,
Assistant Chief Executive,,Contract Printing (External),,D3303,Your Oxford Summer 2017,,27/06/2017,1038022 - 0,"4,648.00",Revenue,20019080,MORTONS MEDIA GROUP LTD,
Assistant Chief Executive,,Main Contractor,,Y021,,,19/04/2017,46293414 - 21,"4,217.76",Capital,20018053,REED SPECIALIST RECRUITMENT LTD,
Assistant Chief Executive,,Temporary Bureau Staffing,,A0108,,,19/04/2017,46293414 - 26,"3,865.21",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Assistant Chief Executive,,Temporary Bureau Staffing,,A0108,Original payment rejected re bank details,,25/04/2017,46293486 - 1,"16,330.00",Revenue,20016203,PENNA PLC,
Assistant Chief Executive,,Temporary Bureau Staffing,,A0108,,,16/05/2017,46293675 - 11,"3,211.18",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Assistant Chief Executive,,Temporary Bureau Staffing,,A0108,ORIGINAL PAYMENT REJECTED,,16/05/2017,46293712 - 1,"16,330.00",Revenue,20016203,PENNA PLC,
Assistant Chief Executive,,Consultants Fees,,D3411,RESIDENTS SURVEY - ORIGINAL PAYMENT LOST,,23/05/2017,46293772 - 1,"12,810.00",Revenue,20018173,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,
Assistant Chief Executive,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 21,"2,858.03",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Transformation,,Subscriptions,,D3703,BARBOUR ABI,,19/04/2017,1036296 - 0,"2,451.00",Revenue,20019201,BARBOUR-ABI,
Transformation,,Software Maintenance/Running Costs,,D3513,Quote 467578,,11/04/2017,1036402 - 0,"3,737.13",Revenue,20016801,BYTES SOFTWARE SERVICES LTD,
Transformation,,General Contracted Services,,D3401,1 COOKS FOLLY ROAD ? BRISTOL ? BS9 1PL ? ENGLAND,,11/04/2017,1036537 - 0,"2,306.00",Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD,
Transformation,,Consultants Fees,,D3411,DC System review / Audit - 100% on order,,19/04/2017,1036819 - 0,"3,800.00",Revenue,20013463,IDOX SOFTWARE LTD,
Transformation,,Reactive Maintenance & Minor Repairs,,B1101,Various,,31/05/2017,1037179 - 0,"1,749.40",Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD,
Transformation,,IT Skills Development,,A0638,ON SITE TRAINING,,31/05/2017,1037693 - 0,"1,840.00",Revenue,20019432,GLOBELINK (UK) LTD,
Transformation,,Temporary Bureau Staffing,,A0108,Temporary staff,,27/06/2017,1037987 - 0,"2,400.00",Revenue,20006509,SOCITM LIMITED,
Transformation,,Software Purchase,,D3511,VEEAM BACKUP ESSENTIALS ENTERPRISE 2 SOCKET BUNDLE FOR VMWARE PUBLIC SECTOR,,20/06/2017,1038172 - 0,"1,005.31",Revenue,20016801,BYTES SOFTWARE SERVICES LTD,
Transformation,,Temporary Bureau Staffing,,A0108,,,19/04/2017,46293414 - 12,"14,422.82",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Transformation,,Temporary Bureau Staffing,,A0108,,,16/05/2017,46293675 - 3,"6,249.55",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Transformation,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 12,"15,364.19",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Business Improvement,,Consultants Fees,,D3411,Oracle 12c Upgrades - 50% on completion,,04/04/2017,1033628 - 0,"5,000.00",Revenue,20013463,IDOX SOFTWARE LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,Service charges for February 2017,,11/04/2017,1035372 - 1,784,Revenue,20006940,BT GLOBAL SERVIES,
Business Improvement,,Software Maintenance/Running Costs,,D3513,12m User licence for Workbooks 11/03/17 to 10/03/18,,11/04/2017,1035883 - 0,"5,640.00",Revenue,20017717,WORKBOOKS ONLINE LTD,
Business Improvement,,Servitor,,D3508,Licence Support & Maintenance for 01/04/17 to 31/03/18,,04/04/2017,1035887 - 0,"85,133.38",Revenue,20010153,CIVICA UK LTD,
Business Improvement,,Hospitality,,D3803,Freeman Ceremony,,04/04/2017,1036037 - 0,561.5,Revenue,20017971,A & J CATERING (OXFORDSHIRE) LTD,
Business Improvement,,General Contracted Services,,D3401,STYLING FOR ADP BY ESOLUTIONS,,11/04/2017,1036067 - 0,"1,300.00",Revenue,20011589,CAPITA BUSINESS SERVICES LTD,
Business Improvement,,Hardware Purchase,,D3520,,,11/04/2017,1036089 - 0,370,Revenue,20015962,HANDS FREE COMPUTING LTD,
Business Improvement,,Software Purchase,,D3511,,,11/04/2017,1036089 - 1,334.95,Revenue,20015962,HANDS FREE COMPUTING LTD,
Business Improvement,,External Telephone Charges,,D3503,"Jan, Feb & March 2017",,11/04/2017,1036112 - 1,"1,774.39",Revenue,20016411,"""JOHNNIE"" JOHNSON HOUSING TRUST",
Business Improvement,,Main Contractor,,Y021,"7-8 The Courtyard, Gaulby Lane",,11/04/2017,1036152 - 0,"8,100.00",Capital,20019354,INTEGRA ASSOCIATES,
Business Improvement,,Main Contractor,,Y021,"7-8 The Courtyard, Gaulby Lane",,11/04/2017,1036152 - 1,-900,Capital,20019354,INTEGRA ASSOCIATES,
Business Improvement,,Hardware Purchase,,D3520,"10-14 DARBY CLOSE, PARK FARM INDUSTRIAL ESTATE",,19/04/2017,1036176 - 0,"1,079.00",Revenue,20002302,MISCO,
Business Improvement,,Consultants Fees,,D3411,Mark Gardner - Hours worked,,04/04/2017,1036178 - 1,"10,575.00",Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.,
Business Improvement,,Consultants Fees,,D3411,Milestone Billing - Service,,04/04/2017,1036179 - 1,"2,750.00",Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.,
Business Improvement,,Consultants Fees,,D3411,Temporary staff,,04/04/2017,1036184 - 1,"3,300.00",Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.,
Business Improvement,,Police Checks,,D3429,UBS February,,04/04/2017,1036187 - 0,492.5,Revenue,20010933,KENT COUNTY COUNCIL,
Business Improvement,,Travel Scheme Discount,,C2505,STAFF DISCOUNT SCHEME 29 JAN - 25 FEB 2017,,04/04/2017,1036193 - 1,907.4,Revenue,20006596,OXFORD BUS COMPANY LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,"Netcall Telecom Limited, 3rd Floor, Hamilton House, 111 Marlowes,",,19/04/2017,1036289 - 0,"2,105.00",Revenue,20017849,NETCALL TELECOM LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,SUPPORT AND MAINTTENANCE DEVELOPER 2000,,19/04/2017,1036299 - 0,"2,018.92",Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD,
Business Improvement,,Corporate Development Programme,,A0631,,,04/04/2017,1036305 - 0,800,Revenue,20003025,PETE RUSSELL,
Business Improvement,,Software Maintenance/Running Costs,,D3513,"Netcall Telecom Limited, Reg: 3rd Floor, Hamilton House",,19/04/2017,1036328 - 0,"1,115.00",Revenue,20017849,NETCALL TELECOM LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,Order no. 5004532995,,19/04/2017,1036346 - 0,"6,573.13",Revenue,20007877,COMPUTACENTER (UK) LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,ArcGIS Desktop Basic (Concurrent Use) Primary Maintenance,,19/04/2017,1036347 - 0,"26,534.00",Revenue,20008475,ESRI (UK) LTD,
Business Improvement,,Temporary Bureau Staffing,,A0108,Temporary staff,,04/04/2017,1036351 - 0,"4,375.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),
Business Improvement,,Main Contractor,,Y021,"Jadu Limited, Universe House, 1 Merus Court",,25/04/2017,1036352 - 0,"5,400.00",Capital,20018839,JADU LTD,
Business Improvement,,Temporary Bureau Staffing,,A0108,Temporary staff,,04/04/2017,1036353 - 0,"20,125.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),
Business Improvement,,Software Maintenance/Running Costs,,D3513,Licence & support 07/10/16 to 06/10/17,,04/04/2017,1036355 - 1,525.82,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD,
Business Improvement,,Staff Advertising,,A0702,Order 1693100,,04/04/2017,1036391 - 0,"1,295.00",Revenue,20019180,UBM (UK) Ltd,
Business Improvement,,Compliance Training (H&S),,A0630,EAP Per Cap - Renewal scheme for 1 month,,25/04/2017,1036398 - 0,737.91,Revenue,20018748,OPTUM HEALTH SOLUTIONS (UK) LTD,
Business Improvement,,Temporary Bureau Staffing,,A0108,Temporary staff,,25/04/2017,1036405 - 0,"5,000.00",Revenue,20006509,SOCITM LIMITED,
Business Improvement,,Consultants Fees,,D3411,UX Enhancements for Oxford City Council Housing Repairs Form 4 days@£420,,04/04/2017,1036409 - 0,"1,680.00",Revenue,20018873,ISCAPE SOLUTIONS,
Business Improvement,,External Telephone Charges,,D3503,MOBILE PHONE CHARGES MARCH 2017,,04/04/2017,1036411 - 1,750,Revenue,20008028,VODAFONE LIMITED (CORPORATE),
Business Improvement,,External Telephone Charges,,D3503,MOBILE PHONE CHARGES MARCH 2017,,04/04/2017,1036411 - 2,50,Revenue,20008028,VODAFONE LIMITED (CORPORATE),
Business Improvement,,Hardware Purchase,,D3520,MC00100542367,,04/04/2017,1036412 - 0,"1,800.00",Revenue,20006940,BT GLOBAL SERVIES,
Business Improvement,,General Contracted Services,,D3401,DCS Bandwidth,,04/04/2017,1036414 - 0,"22,800.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),
Business Improvement,,General Contracted Services,,D3401,Ref DCS381 Period 01/02/17 to 28/02/17,,04/04/2017,1036416 - 0,"45,601.63",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),
Business Improvement,,General Contracted Services,,D3401,Contract DCS381 01/03/17 to 31/03/17,,04/04/2017,1036417 - 0,"45,601.03",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),
Business Improvement,,Temporary Bureau Staffing,,A0108,Temporary staff,,04/04/2017,1036418 - 0,"12,687.50",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),
Business Improvement,,General Contracted Services,,D3401,"SCC-EUROPEAN HEADQUATERS, JAMES HOUSE, WARWICK ROAD",,04/04/2017,1036451 - 0,"97,794.75",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),
Business Improvement,,CRM Database,,D3514,"Concourse II, Queen's Road, Belfast",,25/04/2017,1036464 - 0,"51,807.00",Revenue,20014697,KANA SOFTWARE IRELAND LTD,
Business Improvement,,Temporary Bureau Staffing,,A0108,"European Headquarters, James House",,25/04/2017,1036478 - 0,"2,187.50",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),
Business Improvement,,Furniture & Equipment Purchase,,D3001,"POSTURITE, SHIPPING",,11/04/2017,1036500 - 0,594.7,Revenue,20009620,POSTURITE LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,"House, 9-10 The Bridge, Beresford Way, Chesterfield",,25/04/2017,1036522 - 0,"3,625.00",Revenue,20018060,R & A SOFTWARE SYSTEMS T/A RA INFORM SYSTEMS,
Business Improvement,,Furniture & Equipment Purchase,,D3001,"RISKET LTD, 15 SHEEP LANE, BEDFORDSHIRE",,25/04/2017,1036534 - 0,"1,650.00",Revenue,20015868,RISKEX LIMITED,
Business Improvement,,Software Maintenance/Running Costs,,D3513,"CT_SOFTWARE MAINTENANCE, Intranet, Maintenance support contract",,11/04/2017,1036536 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,"Modern Mindset Ltd., Old Halls Barn, The Brows",,03/05/2017,1036558 - 0,"8,010.00",Revenue,20016668,MODERN MINDSET LTD,
Business Improvement,,Main Contractor,,Y021,Consultancy services 2 days (March 15th-16th),,03/05/2017,1036612 - 1,"1,800.00",Capital,20019354,INTEGRA ASSOCIATES,
Business Improvement,,General Stationery Supplies,,D3301,KT11 BUSINESS IMPROVEMENT (POST R,,25/04/2017,1036626 - 0,"1,916.86",Revenue,20007849,LYRECO UK LTD,
Business Improvement,,Postage & Carriage,,D3501,VODAFONE BILL-,,11/04/2017,1036638 - 1,"2,499.80",Revenue,20016588,VODAFONE LTD,
Business Improvement,,Consultants Fees,,D3411,"19 x PC Rebuilds, Qref 11813Q2",,11/04/2017,1036669 - 0,"4,845.00",Revenue,20018456,FIRST LINE TELECOMS LTD,
Business Improvement,,Advertising & Publicity,,D3802,Midi Fridge Magnet,,03/05/2017,1036675 - 0,460,Revenue,20018976,SILK GROUP LTD,
Business Improvement,,Network Rental,,D3531,UK13210682 - Feb2017,,11/04/2017,1036685 - 1,"4,716.67",Revenue,20016588,VODAFONE LTD,
Business Improvement,,Stamp Duty & Other Legal Fees,,D3415,ODC COMMON CON29 PART II INV FOR MARCH,,25/04/2017,1036715 - 0,597,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL,
Business Improvement,,Contract Printing (External),,D3303,CT PRINTING FOR THE MONTH OF MARCH 2017,,03/05/2017,1036740 - 0,"1,166.00",Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL,
Business Improvement,,Corporate Development Programme,,A0631,MCA TRAINING X5,,09/05/2017,1036742 - 0,"3,500.00",Revenue,20019479,DAISY BOGG CONSULTANCY LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,OS MASTER MAP IMAGERY. THIS COVER PERIOD 02.04.17 TO 01.04.18,,03/05/2017,1036772 - 0,775.36,Revenue,20003193,ORDNANCE SURVEY,
Business Improvement,,Software Maintenance/Running Costs,,D3513,SOFTWARE SUPPORT & MAINT. FOR THE PER. OF 01.04.17 TO 31.03.18,,03/05/2017,1036778 - 0,"35,000.00",Revenue,20011589,CAPITA BUSINESS SERVICES LTD,
Business Improvement,,Software Purchase,,D3511,SOFTWARE SUPPORT & MAINT. FOR THE PER. OF 01.04.17 TO 31.03.18,,03/05/2017,1036778 - 1,"22,835.00",Revenue,20011589,CAPITA BUSINESS SERVICES LTD,
Business Improvement,,Consultants Fees,,D3411,SOFTWARE SUPPORT & MAINT. FOR THE PER. OF 01.04.17 TO 31.03.18,,03/05/2017,1036778 - 2,"10,631.00",Revenue,20011589,CAPITA BUSINESS SERVICES LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,INFORMATION AT WORK EMBEDDED VIEWER,,25/04/2017,1036793 - 0,"1,300.00",Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD,
Business Improvement,,Network Rental,,D3531,UK13210682 2st APRIL 2017,,25/04/2017,1036804 - 1,"4,716.67",Revenue,20016588,VODAFONE LTD,
Business Improvement,,Consultants Fees,,D3411,PA SSL - 100% on order,,19/04/2017,1036817 - 0,950,Revenue,20013463,IDOX SOFTWARE LTD,
Business Improvement,,Consultants Fees,,D3411,People Based Workflow - 100% on order,,19/04/2017,1036818 - 0,950,Revenue,20013463,IDOX SOFTWARE LTD,
Business Improvement,,Consultants Fees,,D3411,BC Fees review - 100% on order,,19/04/2017,1036820 - 0,950,Revenue,20013463,IDOX SOFTWARE LTD,
Business Improvement,,Short Courses,,A0622,A-20947 Personal Safety & CA with Lone Working,,09/05/2017,1036839 - 0,"1,250.00",Revenue,20018972,MAYBO LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,Application Support Services - April Remote Application Consultancy Services,,25/04/2017,1036853 - 0,"2,650.00",Revenue,20019354,INTEGRA ASSOCIATES,
Business Improvement,,External Telephone Charges,,D3503,Total current charges incl. VAT OneBill Ref: 03493270AC-03493270 Q04701,,03/05/2017,1036863 - 1,"26,006.68",Revenue,20006940,BT GLOBAL SERVIES,
Business Improvement,,Management Development,,A0637,PROJECT MANAGEMENT AND SURVEY,,25/04/2017,1036897 - 0,610,Revenue,20017664,GREENBANK LTD,
Business Improvement,,General Contracted Services,,D3401,CUSTOMER ID: OXF003,,23/05/2017,1036920 - 0,"3,700.50",Revenue,20019405,ROCKSURE SYSTEMS LTD,
Business Improvement,,Furniture & Equipment Purchase,,D3001,Positiv plus high back no neck with arms black & shipping,,16/05/2017,1036943 - 0,602.69,Revenue,20009620,POSTURITE LTD,
Business Improvement,,General Contracted Services,,D3401,Rent Statements April 2017,,03/05/2017,1036947 - 0,"1,007.50",Revenue,20011523,HERALD CHASE,
Business Improvement,,Hardware Rental,,D3521,"CODE: L80MONO & L80COLOUR, DELIVERED TO 80SHP26305",,03/05/2017,1036972 - 0,654.92,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC,
Business Improvement,,Subscriptions,,D3703,DNA1,,16/05/2017,1036987 - 0,"1,701.00",Revenue,20019410,CITY & GUILDS ILM,
Business Improvement,,Contract Printing (External),,D3303,JOB;1195513 -  FILE:08160 MAINTAIN SORT,,09/05/2017,1036993 - 0,619.52,Revenue,20019101,CRITIQOM LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,"eXpress annual fee 1/4/2017 - 31/3/2018, Annual Fee & Maintenance",,03/05/2017,1037018 - 0,"12,508.07",Revenue,20013927,XPRESS SOFTWARE SOLUTIONS LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,PAYABLE AS PER QUOTATION 93486-15,,16/05/2017,1037021 - 0,505.57,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD,
Business Improvement,,Travel Scheme Discount,,C2505,STAFF DISCOUNT ORDER FOR THE PERIOD OF 26.02.17 / 01.04.17,,03/05/2017,1037059 - 1,"1,496.70",Revenue,20006596,OXFORD BUS COMPANY LTD,
Business Improvement,,Software Purchase,,D3511,Veeam Backup Essentials Enterprise 2 socket bundle for VMware - Public Sector,,09/05/2017,1037073 - 0,"2,085.88",Revenue,20016801,BYTES SOFTWARE SERVICES LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,BT INVOICE FROM 01.04.17 TO 30.04.2017,,03/05/2017,1037079 - 1,784,Revenue,20006940,BT GLOBAL SERVIES,
Business Improvement,,Contract Printing (External),,D3303,"DESC: 68453, 68501, 68581, 68491, 68586, 68601, 68562, 68460, 68649",,03/05/2017,1037085 - 0,"5,385.00",Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL,
Business Improvement,,Software Maintenance/Running Costs,,D3513,ANNUAL LICENCE & SUPPORT FEE,,09/05/2017,1037115 - 0,"13,200.00",Revenue,20018810,INTEC FOR BUSINESS LTD,
Business Improvement,,Main Contractor,,Y021,"574000117 SOFTWARE LICENCE C3044 , Kent County Supplies",,23/05/2017,1037134 - 0,"151,921.12",Capital,20019420,KENT COUNTY SUPPLIES,
Business Improvement,,Temporary Bureau Staffing,,A0108,Temporary staff,,23/05/2017,1037146 - 0,"3,600.00",Revenue,20006509,SOCITM LIMITED,
Business Improvement,,Software Maintenance/Running Costs,,D3513,Remote Hosting Provision 01/04/2017 - 31/03/2018,,31/05/2017,1037156 - 0,"6,780.00",Revenue,20019212,XN LEISURE SYSTEMS LTD,
Business Improvement,,Software Maintenance/Running Costs,,D3513,Intranet Maintenance Support Contract 01/12/2016 - 30/11/2017,,09/05/2017,1037157 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD,
Business Improvement,,External Telephone Charges,,D3503,Customer no. PSNS10063 Charges April 2017,,16/05/2017,1037166 - 1,"1,848.27",Revenue,20006940,BT GLOBAL SERVIES,
Business Improvement,,Software Maintenance/Running Costs,,D3513,Paris services to enable address verification (AVS),,23/05/2017,1037206 - 0,950,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD,
Business Improvement,,Postage & Carriage,,D3501,Postage,,16/05/2017,1037222 - 0,481.78,Revenue,20019101,CRITIQOM LTD,
