Body Name,Organisational Unit,Expenditure Category,Expenditure Code,Narrative,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name 
Oxford City Council,HRA,Special Events,D3807,Redacted Personal Data,23/06/2015,46286316_1,£586.36,Revenue,20000010_46286316,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,Redacted Personal Data,23/06/2015,46286317_1,£1500.00,Revenue,20000010_46286317,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,Re-imbursement Frommoving Expenses,23/06/2015,46286322_1,£627.95,Revenue,20000010_46286322,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286379_1,£2432.76,Revenue,20000010_46286379,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286380_1,£1000.00,Revenue,20000010_46286380,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286385_1,£1091.04,Revenue,20000010_46286385,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286386_1,£632.76,Revenue,20000010_46286386,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286390_1,£712.50,Revenue,20000010_46286390,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286391_1,£1260.56,Revenue,20000010_46286391,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286402_1,£600.00,Revenue,20000010_46286402,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286437_1,£120.00,Revenue,20000010_46286437,Lee & Lindars
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286437_2,£1450.00,Revenue,20000010_46286437,Lee & Lindars
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,30/06/2015,46286437_3,£840.00,Revenue,20000010_46286437,Lee & Lindars
Oxford City Council,Housing and Property,Homeless Prevention,D3426,Redacted Personal Data,28/04/2015,46285585_1,£570.00,Revenue,20000018_46285585,Home Experts Worcester
Oxford City Council,Housing and Property,Homeless Prevention,D3426,Redacted Personal Data,27/05/2015,46285929_1,£565.00,Revenue,20000018_46285929,Home Experts Worcester
Oxford City Council,Housing and Property,Homeless Prevention,D3426,Redacted Personal Data,27/05/2015,46285930_1,£555.00,Revenue,20000018_46285930,Home Experts Worcester
Oxford City Council,Housing and Property,Homeless Prevention,D3426,Redacted Personal Data,27/05/2015,46285930_2,£128.22,Revenue,20000018_46285930,Home Experts Worcester
Oxford City Council,Housing and Property,Homeless Prevention,D3426,Redacted Personal Data,27/05/2015,46285931_1,£570.00,Revenue,20000018_46285931,Home Experts Worcester
Oxford City Council,Community Services,Grants,D3701,Grant Payment Ohtccp,09/06/2015,46286125_1,£700.00,Revenue,20000019_46286125,Oxford Hindu Temple & Community Centre Project
Oxford City Council,Community Services,Grants,D3701,Ec 1st Grant Payment Inspired Ypp,30/06/2015,46286382_1,£3500.00,Revenue,20000019_46286382,Inspired Young Peoples Project
Oxford City Council,Financial Services,Commission/Discount,K9472, ,21/04/2015,46285475_1,£-0.97,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_10,£2091.95,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_11,£2858.09,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_12,£4254.55,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_13,£2248.38,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_14,£7894.00,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_15,£1821.72,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_16,£17602.86,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_17,£1373.75,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_18,£2033.43,Revenue,20000200,Champion Employment Ltd
