Month,Year,Area,Topic,Transaction,Telephone or Face to Face,Online,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Containers,237,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not done-Prov info),210,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move out of a property,209,182,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,Existing Applications,205,,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,Garden Waste Renewal,191,79,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(AppointmentChanged),156,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Business Rates,General Query,151,,,,,,,,,,,,,,,,,,,,,,
April,2016,Anti-Social Behaviour,Anti-Social Behaviour,Report of Anti-Social Behaviour,145,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Other Enquiry,142,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Other Services,135,56,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Method Change,127,365,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Business Rates,Payments / Copy Bill,115,15,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move into a property,109,176,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Chasing Progress,106,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case Quick,99,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Highways,99,17,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,New Subscriber,87,86,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Automated Missed Bin Service - Bail Out,73,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Swap Container,72,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(work not finished-Prov Info),61,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Business Rates,Reliefs,57,,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,Duty Officer,54,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Single Person Discount,50,81,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,New Applications,50,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Copy Bill,48,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Overpayments,47,,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,Unsubscribe,46,2,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,Garden Waste - Callback Request,44,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,New Application for HB / CTB,43,239,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Student discount / exemption application,42,58,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Assisted Collections,41,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Damaged Container,40,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Empty Property Query,38,24,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Cancel Worksheet,35,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Keys_and_Locks(ProvInfo),33,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,"Street Clean/ LeafSweep/ Verge, Shrub Cut",33,17,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,Customer Updating Payment Method to DD,32,24,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Electricity Advice,30,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Lost / Found / Stray / Stolen Dog,27,4,,,,,,,,,,,,,,,,,,,,,
April,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Other Dog Query,26,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Abandoned Item,25,61,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Appointment Query,24,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Error Correction,22,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Other Services,Callback Request,22,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Clinical Waste Collection,22,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,New Build Defects Report,20,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Water Advice,20,,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning & Building Control,Planning,Callback request - consultation query,20,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Out Of A Property,19,4,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Other Exemptions Query,18,7,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Report of Death,16,2,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(follow on work-Prov Info),16,,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning & Building Control,Planning,Callback request - specific officer,16,,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,Enforcement,15,7,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,Listed Buildings; Conservation Area; TPO's; A4D,15,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Handing in Documents,14,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Repairs - Tenant Responsible,14,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Connect Query,13,,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,Paper Based Compostable Sacks,13,11,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Gas Advice,13,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Animal Fouling,13,28,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Sharps,13,5,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Discretionary Housing Payments,12,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Update Name / Forwarding Address,12,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Exemption / Discount Cancellation,11,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Report of Dog Fouling,11,0,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Landlord Schedule,10,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Into A Property,10,1,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,Garden Waste Scheme - Query Resolved,10,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not to standard-Prov Info),10,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Fixed Penalty Notices,Fixed Penalty Notices,9,0,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Existing Rep Enq (cancellation),8,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Keys_and_Locks(BMA_locksmiths_permission_EMAIL),8,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Recharge form issued - NFA until returned,8,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Drainage,8,6,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,Do I Require Planning Permission?,7,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Dead Animals,7,4,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Fraud Referral,6,3,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Disregard Discount Query,6,4,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,Building Control,6,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Enforcement,6,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Banding Query,5,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Gas,Gas Leak Reported,5,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,OCH Garden Scheme Enquiry,Garden Scheme Enquiry,5,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Trade Waste,5,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Universal Credit,4,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Error Correction (discounts / exemptions),4,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Severely Mentally Impaired,4,,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,Garden Waste Site Visit,4,,,,,,,,,,,,,,,,,,,,,,
April,2016,City Works,Garden Waste,Customer Reactivating Subscription,4,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Rechargeable repair - emergency,4,,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning & Building Control,Planning,Callback request - pre-app advice,4,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Business Rates,Connect Issue,3,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Disabled Discount Query,3,4,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Existing Rep Enq (Not appointed_case),3,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Repairs Exemption,3,1,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,Boundary Disputes / High Hedges,3,,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning and Building Control,Planning,Trees,3,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Public Toilets,3,0,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Do I Qualify As A Student,2,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Benefit on Two Homes,2,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Not OCC Property,2,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Caretaking (1142),Communal repair - passed to Caretaker,2,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case Fast,2,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Car Parks,2,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Claim for Second Adult Rebate,1,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Garden Scheme,Garden Scheme Enquiry,1,,,,,,,,,,,,,,,,,,,,,,
April,2016,Planning & Building Control,Planning,Callback request - planning fee query,1,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Bulky Waste Collections,1195,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case,967,81,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Repairs Emergency Work Order - Servitor Case,853,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Request for Information,756,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Rent Query,721,1,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payments and Balance Query,699,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Gas,Gas Service Booked - Standard Wrap Up,646,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Change in Circs,618,32,,,,,,,,,,,,,,,,,,,,,
May,2016,3Cs reports,3Cs reports,3Cs reports,562,143,,,,,,,,,,,,,,,,,,,,,
May,2016,Law and Governance,Electoral Services,Elections Query,438,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Assessment Query,435,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Made,422,3131,,,,,,,,,,,,,,,,,,,,,
May,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Tenancy Query,420,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Any Other Query,373,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Repairs - appointment confirmed,272,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Missed Collection,268,110,,,,,,,,,,,,,,,,,,,,,
May,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Pest Control Treatment,Pest Control Treatment,253,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Recovery Action,238,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Containers,232,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Refund Request,231,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Payment Query,228,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not done-Prov info),226,,,,,,,,,,,,,,,,,,,,,,
May,2016,City Works,Garden Waste,Garden Waste Renewal,198,202,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move out of a property,191,248,,,,,,,,,,,,,,,,,,,,,
May,2016,Planning and Building Control,Planning,Existing Applications,172,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Other Services,144,59,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(AppointmentChanged),142,,,,,,,,,,,,,,,,,,,,,,
May,2016,Anti-Social Behaviour,Anti-Social Behaviour,Report of Anti-Social Behaviour,131,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Business Rates,General Query,120,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Other Enquiry,120,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(work not finished-Prov Info),118,,,,,,,,,,,,,,,,,,,,,,
May,2016,City Works,Garden Waste,New Subscriber,100,147,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Chasing Progress,97,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Automated Missed Bin Service - Bail Out,93,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move into a property,85,176,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Highways,84,28,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Method Change,79,235,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,"Street Clean/ LeafSweep/ Verge, Shrub Cut",77,28,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Business Rates,Payments / Copy Bill,73,8,,,,,,,,,,,,,,,,,,,,,
May,2016,City Works,Garden Waste,Garden Waste - Callback Request,72,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case Quick,71,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Swap Container,61,,,,,,,,,,,,,,,,,,,,,,
May,2016,City Works,Garden Waste,Unsubscribe,54,2,,,,,,,,,,,,,,,,,,,,,
May,2016,Planning and Building Control,Planning,New Applications,50,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Student discount / exemption application,49,52,,,,,,,,,,,,,,,,,,,,,
May,2016,Planning and Building Control,Planning,Duty Officer,46,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Cancel Worksheet,43,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,New Application for HB / CTB,40,261,,,,,,,,,,,,,,,,,,,,,
May,2016,City Works,Garden Waste,Customer Updating Payment Method to DD,40,35,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Overpayments,39,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Lost / Found / Stray / Stolen Dog,38,12,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Damaged Container,32,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Empty Property Query,31,15,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Business Rates,Reliefs,30,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Keys_and_Locks(ProvInfo),30,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Copy Bill,29,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Single Person Discount,26,66,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Other Exemptions Query,25,6,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Abandoned Item,25,66,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Appointment Query,23,,,,,,,,,,,,,,,,,,,,,,
May,2016,City Works,Garden Waste,Garden Waste Scheme - Query Resolved,23,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Electricity Advice,23,,,,,,,,,,,,,,,,,,,,,,
May,2016,Planning & Building Control,Planning,Callback request - consultation query,22,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Handing in Documents,21,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Drainage,20,25,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Gas Advice,19,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Water Advice,19,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,New Build Defects Report,18,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Other Services,Callback Request,18,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Repairs - Tenant Responsible,17,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Other Dog Query,17,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Error Correction,16,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Assisted Collections,16,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Report of Death,15,0,,,,,,,,,,,,,,,,,,,,,
May,2016,City Works,Garden Waste,Customer Reactivating Subscription,15,,,,,,,,,,,,,,,,,,,,,,
May,2016,Planning & Building Control,Planning,Callback request - specific officer,14,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,OCH Garden Scheme Enquiry,Garden Scheme Enquiry,13,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Out Of A Property,12,4,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Update Name / Forwarding Address,12,,,,,,,,,,,,,,,,,,,,,,
May,2016,City Works,Garden Waste,Paper Based Compostable Sacks,12,18,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Clinical Waste Collection,12,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Dead Animals,10,11,,,,,,,,,,,,,,,,,,,,,
May,2016,Planning and Building Control,Planning,Trees,9,,,,,,,,,,,,,,,,,,,,,,
May,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Landlord Schedule,8,,,,,,,,,,,,,,,,,,,,,,
May,2016,Oxford City Homes,Repairs to Homes,Rechargeable repair - emergency,8,,,,,,,,,,,,,,,,,,,,,,
