Block Address,Job Number,Description of repairs,Date Job Raised, Price to Charge (£) ,No of Flats, Charge per flat (£) ,
1-12 ANDROMEDA CLOSE,08292430,HANDLE ON THE BIN STORE WAS REPAIRED YESTERDAY  BUT NOW THE LOCK HAS BROKE REF JAYNE WHITE FROM FLAT 12,07/04/2016, 123.55 ,12, 10.30 ,
1-12 ANDROMEDA CLOSE,08315816,PLEASE ATTEND TO FORCE ENTRY AND CHANGE LOCKS TRO DRYING AREA DOOR,20/04/2016, 15.00 ,12, 1.25 ,
1-12 ANDROMEDA CLOSE,08570565,ELECTRICAL INSPECTION AND TEST FOR COMMUNAL AREA,08/09/2016, 130.00 ,12, 10.83 ,
1-12 ANDROMEDA CLOSE,08617226,"FIRE RISK ASESSMENT HOUSING - ANY NON-COMPLIANT DOORS SHOULD BE CHECKED TO ENSURE THEY ARE NOT LEASEHOLDERS, BEFORE THEY ARE REPLACED.",29/09/2016, 90.22 ,12, 7.52 ,
1-12 ANDROMEDA CLOSE,08742005,PM- SUPPLY AND INSTALL BOW TOP FENCE.,24/11/2016," 3,000.00 ",12, 250.00 ,
1-12 ANDROMEDA CLOSE,08826796,PLEASE ATTEND TO MANHOLE COVER IT IS OVER FLOWING WITH SEWAGE. TNT AT NUMBER 4 HAS RECENTLY BEEN FLOODED OUT WITH RAW SEWAGE TWICE AND CAN SEE THE WATER LEVELS RISING IN HIS TOILET AND BATH.,05/01/2017, 79.78 ,12, 6.65 ,
1-12 ANDROMEDA CLOSE,08832072,NTCO C/O PN - DLOCKED DRAIN - REF LG,08/01/2017, 90.82 ,12, 7.57 ,
1-12 ANDROMEDA CLOSE,08850959,ENSURE ALL WATER TANKS MEET THE WATER REGULATIONS INLET / OUTLETS AND CORRECT FITTING LIDS,17/01/2017," 1,278.61 ",12, 106.55 ,
1-12 ANDROMEDA CLOSE,08870926,ATTEND TO BLOCKED MAIN DRAIN AT FRONT OF PROPERTY - JUST HAD MAJOR WORKS DONE OVER XMAS BY OAKWOODS. OVERFLOWING WITH SEWAGE. REPORTED BY NO4,25/01/2017, 27.36 ,12, 2.28 ,
1-12 ANDROMEDA CLOSE,08872397,CALL OUT - 25.01.2017 - CLEAR BLOCKED DRAIN AT THE FRONT OF THE BLOCK,25/01/2017, 125.00 ,12, 10.42 ,
1-12 ANDROMEDA CLOSE,08884477,CALL OUT - 29.01.2017 - 1-4 ANDROMEDA CLOSE - ATTEND TO CLEAR BLOCKED DRAIN,31/01/2017, 125.00 ,12, 10.42 ,
1-12 ANDROMEDA CLOSE,08900036,CALL OUT - 30.01.2017 - ATTEND 1-4 ANDROMEDA CLOSE TO CLEAR BLOCKED DRAIN,07/02/2017, 125.00 ,12, 10.42 ,
1-12 ANDROMEDA CLOSE,08963655,"PLEASE REMOVE DEAD LEG IN LOFT SPACE OF FLAT 11 THIS HAS BEEN CAPPED OFF WITH A COMPRESSION FITTING, PLEASE CUT BACK TO MAIN BRANCH - REF MG/GC",06/03/2017, 136.66 ,12, 11.39 ,
25-30 ASHMOLE PLACE,08999515,PM- PLEASE REPAIR COPINGS TO BIN AREA WALL. PICTURE ATTACHED TO INSPECTION. 08968647. REF-B.JONES,23/03/2017, 225.58 ,6, 37.60 ,
31-36 ASHMOLE PLACE,08662734,INSTALL EMERGENCY EXIT SIGNAGE ( NO SMOKING/KEEP COMMUNAL AREAS CLEAR ETC) ,18/10/2016, 211.22 ,6, 35.20 ,
3-41 ODD ATKYNS ROAD,08361293,DRAIN NEAR FLAT 37 BLOCKED AND FOOTPATH FLOODED.  ,11/05/2016, 79.88 ,9, 8.88 ,
3-41 ODD ATKYNS ROAD,08723981,PLEASE ATTEND TO CLEAR THE GUTTERING ABOVE 35 ATKYNS ROAD AND THE REST OF THAT BLOCK AS IT IS FULL OF WEEDS AND GROWTH. IT&RSQUO;S COMPLETELY BLOCKED,16/11/2016, 354.05 ,9, 39.34 ,
3-41 ODD ATKYNS ROAD,08893952,"FAO OAKWOOD - TO CLEAR GULLIES TO WALK WAY TO FLATS ABOVE SHOPS, BLOCK LOW DOWN MAY HAVE TO GO INTO SHOPS - REF",03/02/2017, 270.71 ,9, 30.08 ,
19-24 ATWELL PLACE,08549965, REPORTED A NEED TO REPLACE A WOODEN POST THAT STOPS CARS FROMPARKING ON THE GRASS,25/08/2016, 58.03 ,6, 9.67 ,
19-24 ATWELL PLACE,08663645,SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC SIGNS TO COMPLY WITH FIRE REGULATIONS. ,18/10/2016, 117.55 ,6, 19.59 ,
13-18 ATWELL PLACE,08663588,SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC SIGNS TO COMPLY WITH FIRE SAFETY REGULATIONS  ,18/10/2016, 76.96 ,6, 12.83 ,
13-18 ATWELL PLACE,08758240,URGENT - PLS FORCE ENTRY & CHANGE LOCKS TO  (LEASEHOLDER). TNT AWAY. DRAINGAIN NEED ACCESS TO NO. 15 TO SOURCE BLOCKAGE. NO. 13 BELOW FLOODED. LEAVE NEW KEYS WITH DUTY OFFICER ON CALL THIS WEEKEND FOR WHEN TNT RETURNS.,30/11/2016, 63.21 ,6, 10.54 ,
69-83 ODD BALFOUR ROAD,08289519,2 MAN JOB - LADDER REQUIRED - PLEASE REPLACE HIGH LEVEL DUSK TILL DAWN SENSOR - REF SP/JA,05/04/2016, 254.23 ,4, 63.56 ,
69-83 ODD BALFOUR ROAD,08629801,PLS ATTEND TO COMMUNAL LIGHT OUTSIDE THE BUILDING AT THE BACK GARDEN NOT WORKING.  ,06/10/2016, 54.45 ,4, 13.61 ,
69-83 ODD BALFOUR ROAD,08629827,PLS REPAIR COMMUNAL WOODEN GATE .,06/10/2016, 16.32 ,4, 4.08 ,
410-432 EVEN BANBURY ROAD,08663786,SITE SPECIFIC SIGNS TO COMPLY WITH FIRE SAFETY REGULATIONS. ,18/10/2016, 60.89 ,12, 5.07 ,
410-432 EVEN BANBURY ROAD,08977940,LOFT INSULATION,14/03/2017, 27.00 ,12, 2.25 ,
434 BANBURY ROAD,08359803,OVERHAUL/CLEAN OUT GUTTERING TO FRONT OF PROPERTY REPORTED OVERFLOWING AND WATER FALLING DOWN OVER MAIN ENTRANCE DOOR WHEN RAINS ,11/05/2016, 51.19 ,6, 8.53 ,
434 BANBURY ROAD,08586247,CHERRY PICKER REQUIRED - PLEASE CLEAR GUTTERS TO FRONT OF PROPERTY - REF SB/DC,16/09/2016, 256.28 ,6, 42.71 ,
434 BANBURY ROAD,08663885,SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC TO CONFORM WITH THE FIRE SAFETY REGULATIONS,18/10/2016, 183.84 ,6, 30.64 ,
434 BANBURY ROAD,08977953,LOFT INSULATION,14/03/2017, 174.37 ,6, 29.06 ,
436 BANBURY ROAD,08417749, REPLACE 1 DGU TO LARGE BEDROOM WINDOW FACING BANBURY ROAD,14/06/2016, 155.44 ,6, 25.91 ,
436 BANBURY ROAD,08424613,"PLS ATTEND TO BLOCKAGE AT THE GROUND FLOOR, WATER IS NOT MOVING DUE TO BLOCK OF BOTH DRAINS INSIDE THE HALLWAY.",17/06/2016, 47.22 ,6, 7.87 ,
436 BANBURY ROAD,08432795,GUTTERS NEED CLEARING - 3 STORY PROPERTY - REF SB,22/06/2016, 2.20 ,6, 0.37 ,
436 BANBURY ROAD,08586250,CHERRY PICKER REQUIRED - PLEASE CLEAR GUTTERING TO PROPERTY - REF SB/DC,16/09/2016, 235.42 ,6, 39.24 ,
436 BANBURY ROAD,08587330,PLS ATTEND TO INSPECT COMMUNAL DRAINS OF BLOCK.  REPORTING DRAINS ARE BUBBLING UP ALSO BLOCKAGE IN FLAT ABOVE CAUSING LEAK ,19/09/2016, 25.15 ,6, 4.19 ,
436 BANBURY ROAD,08663939,SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC SIGNS TO CONFORM WITH FIRE SAFETY REGULATIONS. ,18/10/2016, 121.36 ,6, 20.23 ,
436 BANBURY ROAD,08759614,CARRY OUT ALL FLOORING WORKS - ,01/12/2016," 1,500.00 ",6, 250.00 ,
436 BANBURY ROAD,08977979,LOFT INSULATION,14/03/2017, 174.37 ,6, 29.06 ,
438 BANBURY ROAD,08663971,SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC SIGNS O CONFORM WITH FIRE SAFETY REGULATIONS  ,18/10/2016, 144.59 ,6, 24.10 ,
438 BANBURY ROAD,08977982,LOFT INSULATION,14/03/2017, 174.37 ,6, 29.06 ,
440 BANBURY ROAD,08664035,SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC SIGNS TO CONFORM WITH FIRE SAFETY REGULATIONS  ,18/10/2016, 282.99 ,6, 47.17 ,
440 BANBURY ROAD,08759656,CARRY OUT ALL FLOORING WORKS - ,01/12/2016," 1,500.00 ",6, 250.00 ,
440 BANBURY ROAD,08977995,LOFT INSULATION,14/03/2017, 174.37 ,6, 29.06 ,
440 BANBURY ROAD,08990608,REPAIR HOLE BY LOFT HATCH IN COMMUNAL AREA,20/03/2017, 157.96 ,6, 26.33 ,
442 BANBURY ROAD,08664077,SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC SIGNS TO CONFORM WITH FIRE SAFETY REGULATIONS  ,18/10/2016, 164.89 ,6, 27.48 ,
442 BANBURY ROAD,08759672,CARRY OUT ALL FLOORING WORKS -,01/12/2016," 1,500.00 ",6, 250.00 ,
442 BANBURY ROAD,08978004,LOFT INSULATION,14/03/2017, 174.37 ,6, 29.06 ,
444 BANBURY ROAD,08664093,SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC SIGNS TO CONFORM WITH FIRE SAFETY REGULATIONS.  ,18/10/2016, 173.27 ,6, 28.88 ,
444 BANBURY ROAD,08978033,LOFT INSULATION,14/03/2017, 174.37 ,6, 29.06 ,
446 BANBURY ROAD,08292584,STOP COCK FOR BLOCK IS CEASED ,07/04/2016, 31.06 ,6, 5.18 ,
446 BANBURY ROAD,08664118,"SUPPLY AND FIT NO SMOKING SIGNS. ALSO SITE SPECIFIC SIGNS TO CONFORM WITH FIRE SAFETY REGULATIONS, ",18/10/2016, 161.95 ,6, 26.99 ,
446 BANBURY ROAD,08978059,LOFT INSULATION,14/03/2017, 174.37 ,6, 29.06 ,
214-240 EVEN BARNS ROAD,08351881,REPAIR OR REPLACE WOODEN DOOR TO ELECTRIC CUPBOARD INSIDE THE BIN STORE - ROTTEN AND UNABLE TO LOCK,06/05/2016, 25.15 ,14, 1.80 ,
214-240 EVEN BARNS ROAD,08351906,CLEAR REFUSE CHUTE TO BLOCKED - ESTATE OFFICERS TRIED FOR 45 MINS TO UNBLOCK THIS,06/05/2016, 26.47 ,14, 1.89 ,
214-240 EVEN BARNS ROAD,08357809,REPLACE FLB (REBATED) ELECTRIC METER CUPBOARD DOOR AND FRAME,10/05/2016," 1,138.62 ",14, 81.33 ,
214-240 EVEN BARNS ROAD,08903181,PLS ATTEND BINSTORE GATE - SMASHED OFF AND MAY NEED REPLACING. REPORTED BY EO ,08/02/2017, 48.54 ,14, 3.47 ,
37-61 ODD BARNS ROAD,08569268,PLEASE REPAIR TO TOP STEP TO EXTERNAL STAIRS - STAIRS NEAR TO BIN STORE ,08/09/2016, 32.81 ,6, 5.47 ,
37-61 ODD BARNS ROAD,08597078,PLEASE REPAIR BIN STORE GATE - HANDLE IS BROKEN OFF AND THE KEY NO LONGER WORKS ,20/09/2016, 108.55 ,6, 18.09 ,
37-61 ODD BARNS ROAD,08624372,ELECTRICAL INSPECTION TO  COMMUNAL AREA  37-61  1 CIRCUIT,04/10/2016, 130.00 ,6, 21.67 ,
37-61 ODD BARNS ROAD,08669957,CHECK ENTRANCE DOORS FOR FIRE COMPLIANCE FD30  ,20/10/2016, 82.38 ,6, 13.73 ,
37-61 ODD BARNS ROAD,08901918, REPAIR ASPHALT TO TOP STEP OF COMMUNAL STAIRS.,08/02/2017, 316.25 ,6, 52.71 ,
54-64 EVEN BARNS ROAD,08432469, BLOCKED DRAIN TO BLOCK AT FROM,22/06/2016, 62.64 ,6, 10.44 ,
54-64 EVEN BARNS ROAD,08432485,GUTTERING TO BLOCK LEAKING/ BLOCKED AND NEEDS CLEARINFG OUT AND REPAIR ROOF TILES TO VERGE,22/06/2016, 770.21 ,6, 128.37 ,
54-64 EVEN BARNS ROAD,08469102,"REAR OF - ONE-OFF THOROUGH DEEP CLEAN, TIDY UP GARDENS, FACE UP HEDGES, CUT BACK ALL BRANCHES, GRUB OUT ALL VEGETATION & SUCKERS, REMOVE RUBBISH.  FAO: SC",12/07/2016, 870.00 ,6, 145.00 ,
54-64 EVEN BARNS ROAD,08670027,SUPPLY AND FIT SITE SPECIFIC SIGNAGE TO CONFORM WITH FIRE REGULATIONS  ,20/10/2016, 74.72 ,6, 12.45 ,
54-64 EVEN BARNS ROAD,08683175,"PROVIDE AND FIT ALTRO RELIANCE 25  SHEET FLOORING TO COMMUNAL AREAS AS PER MANUFACTURES RECOMMENDATIONS, SPECIFICATION AND QUOTE",27/10/2016," 1,500.00 ",6, 250.00 ,
54-64 EVEN BARNS ROAD,08698397,PLS ATTEND TO TOILET AND KITCHEN WINDOW. PREVIOUSLY THEY DID NOT SHUT. THE COUNCIL CAME TO SECURE THE PROPERTY. NOW WINDOWS WILL NOT OPEN. HANDLES AND OR HINGES DAMAGED,04/11/2016, 81.48 ,6, 13.58 ,
54-64 EVEN BARNS ROAD,08767051,"FRONT OF BLOCK 54-64 BARNS ROAD.REACTIVE WORK, JOB COMPLETED",05/12/2016," 1,000.00 ",6, 166.67 ,
54-64 EVEN BARNS ROAD,08890290,NEED OPPOSING INLET AND OUTLET SUPPLIES TO THE CWST,01/02/2017, 201.29 ,6, 33.55 ,
153-183 ODD BARNS ROAD,08318226,REPAIR METAL GATE TO SHED AREA. HAS BEEN BROKEN. RECURRING PROBLEM.,21/04/2016, 127.69 ,16, 7.98 ,
153-183 ODD BARNS ROAD,08347004, REPORTED THE METAL GATE TO SHED AREA IS LOCKED AND HE CANNOT GET INTO THE SHED AREA,04/05/2016, 17.66 ,16, 1.10 ,
153-183 ODD BARNS ROAD,08600745,ELECTRICAL INSPECTION COMMUNAL AREA 153-183 ODD LHS,21/09/2016, 130.00 ,16, 8.13 ,
114-124 EVEN BARTON ROAD,08762973,LOCATE AND REPLACE TYPE 1 BALL WITH TYPE 2 VALVE TO WATER TANK,02/12/2016, 102.16 ,6, 17.03 ,
126-136 EVEN BARTON ROAD,08480501,PLEASE ATTEND TO METAL HINGE ON FRONT SECURITY DOOR LEAKING AND DOOR SLAMMING REPORTED BY EO ,20/07/2016, 114.58 ,6, 19.10 ,
79-89 ODD BAYSWATER ROAD,08614171,"GRAFFITI REMOVAL FROM BLOCK AND SHED AREA ON 20/07/16, SAMS REF 5590.",28/09/2016, 127.38 ,6, 21.23 ,
79-89 ODD BAYSWATER ROAD,08670551,SUPPLY AND FIT SITE SPECIFIC SIGNAGE TO COMPLY WITH FIRE REGULATIONS  UPGRADE REAR LOBBY DOOR TO FD30 INCLUDING CLOSER SIGNAS STRIPS AND SEALS  ,20/10/2016, 299.59 ,6, 49.93 ,
79-89 ODD BAYSWATER ROAD,08728816,REMOVE GRAFFITI FROM REAR WALL GARDEN SIDE OF BLOCK 79-89 - SAMS 5820,18/11/2016, 29.50 ,6, 4.92 ,
1-85 FORESTERS TOWER,08303187,VPS - PUMP ROOM - HIRE OF ALARM & PIRS - CONTINUATION OF JOB 07741478,13/04/2016," 2,534.66 ",85, 29.82 ,
1-85 FORESTERS TOWER,08312815,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT (FOR 3 MONTHS ONLY),19/04/2016, 132.38 ,85, 1.56 ,
1-85 FORESTERS TOWER,08343952,BAD LEAK FROM PIPES IN CORRIDOR OUTSIDE 51,03/05/2016, 80.33 ,85, 0.95 ,
1-85 FORESTERS TOWER,08354501,9TH FLOOR - ATTEND TO LEAKING STOP TAP IN SERVICE DUCT CAUSING DAMP TO FLOOR BELOW - REF SB,09/05/2016, 48.06 ,85, 0.57 ,
1-85 FORESTERS TOWER,08410414,ELECTRICAL INSPECTION FOR THE TOWER PUMP ROOM 21/06/2016,08/06/2016, 130.00 ,85, 1.53 ,
1-85 FORESTERS TOWER,08434629,REPLACE GWC GLASS TO FIRE DOOR ON 14TH FLOOR - ALREADY MEASURED BY ES ,24/06/2016, 110.05 ,85, 1.29 ,
1-85 FORESTERS TOWER,08442459,INSPECT ROOF ABOVE FLAT 80 FOR CAUSE OF RAINWATER LEAK INTO WC AND CARRY OUT ANY VIABLE REPAIRS - REF BJ,27/06/2016, 92.64 ,85, 1.09 ,
1-85 FORESTERS TOWER,08452001,PLS TRACE AND FIX LEAK COMING THROUGH THE CEILING INTO THE FOYER.  REPORTED BY EO ,01/07/2016, 67.95 ,85, 0.80 ,
1-85 FORESTERS TOWER,08453219,REPIPE MAINS SUPPLY IN DUCT AND FIT NEW STOP TAP,01/07/2016, 544.77 ,85, 6.41 ,
1-85 FORESTERS TOWER,08508081,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT,03/08/2016, 212.67 ,85, 2.50 ,
1-85 FORESTERS TOWER,08627810,INSPECT REPAIR ELECTRIC CUPBOARD DOORS AS REQUIRED. ,05/10/2016, 125.78 ,85, 1.48 ,
1-85 FORESTERS TOWER,08667755," REPORTS A LEAK ON HER LEVEL, THE WATER IS COMING OUT FROM THE LOCKED CUPBOARD, IT SAYS DRY RISER ON THE DOOR",19/10/2016, 39.81 ,85, 0.47 ,
1-85 FORESTERS TOWER,08756501,CARRY OUT FIRE RETARDANT WORKS TO ENTRACE FRAMES TO ALL FLATS IN FORTESTERS TOWER,30/11/2016," 12,750.00 ",85, 150.00 ,
1-85 FORESTERS TOWER,08762986,"LOCKSMITH TO ATTEND ELECTRIC CUPBOARD ON 11TH FLOOR, LOCK JAMMED UNABLE TO OPEN, EO NEEDS TO GET IN. ATTEND ASAP.",02/12/2016, 80.89 ,85, 0.95 ,
1-85 FORESTERS TOWER,08772228,"AS REPORTED BY EO , NO ELECTRICS FROM 14TH FLOOR ALL THE WAY TO 2ND FLOOR. EMERGENCY HALLWAY LIGHTS WORKING BUT NO LIGHTS IN STAIRWELLS. ",07/12/2016, 25.73 ,85, 0.30 ,
1-85 FORESTERS TOWER,08779397,ASBESTOS SURVEY,09/12/2016, 67.74 ,85, 0.80 ,
1-85 FORESTERS TOWER,08828550,JOB RAISED FOR SPIKE TO MEASURE ALL PUMP ROOM DOORS FOR REPLACEMENT. ,06/01/2017, 190.62 ,85, 2.24 ,
1-85 FORESTERS TOWER,08855334,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT,18/01/2017, 379.72 ,85, 4.47 ,
1-85 FORESTERS TOWER,08873378,TO FIT STEEL SECURITY DOOR SET TO PUMP/ PLANT ROOM AS PER SPEC - ,26/01/2017," 4,037.84 ",85, 47.50 ,
1-85 FORESTERS TOWER,08878018,CARRY OUT REWIRE TO PUMP ROOM,27/01/2017," 6,928.08 ",85, 81.51 ,
1-85 FORESTERS TOWER,08900304,PLEASE ATTEND TO CLEAR REFUSE CHUTE. BLOCKED TO SECOND FLOOR. ,07/02/2017, 30.88 ,85, 0.36 ,
1-85 FORESTERS TOWER,08959344,CLEAR BLOCKAGE TO DRAIN NEAR FRONT ENTRANCE OF TOWER BLOCK AS PER EO,03/03/2017, 25.59 ,85, 0.30 ,
1-85 FORESTERS TOWER,08997496,"LOCKS ON THE ELECTRIC CUPBOARD ON THE 14TH &AMP; 12TH FLOOR ARE BROKEN, PLEASE FIX AND REPLACE - BKEY LOCKS   PLS CALL  EO - ",23/03/2017, 50.12 ,85, 0.59 ,
1-85 FORESTERS TOWER,08997553,"BLOCKAGE JUST OUTSIDE FOYER OF FORESTERS TOWER, THE DRAIN HEADING TOWARDS THE FOOTPATH IN THE CORNER.",23/03/2017, 15.44 ,85, 0.18 ,
1-85 FORESTERS TOWER,08998659,ATTEND TO CLEAR BLOCKED STORM DRAIN BY THE MAIN ENTRANCE DOOR - 23.03.2017,23/03/2017, 92.50 ,85, 1.09 ,
21-31 ODD BIRCHFIELD CLOSE,08413316,REMOVAL OF GRAFFITI FROM FRONT ENTRANCE AND DRYING AREA OF 21-31 BIRCHFIELD CLOSE ON 18/04/16 (GRAFFITI REF 5400).,10/06/2016, 87.03 ,6, 14.51 ,
21-31 ODD BIRCHFIELD CLOSE,08423757,"BLOCKAGE TO DRAIN TO WHOLE BLOCK, DOESNT KNOW WHERE. IS SMELLING SEWAGE FROM HER SINKS AND WASHING MACHINE.",16/06/2016, 15.44 ,6, 2.57 ,
21-31 ODD BIRCHFIELD CLOSE,08670478,INSTALL INTRUMESCENT DOOR STRIPS AND SEALS TO UNDER STAIRS MAINS CUPD AND ENSURE DOOR MEETS FD30 FIRE REGULATIONS,20/10/2016, 204.03 ,6, 34.01 ,
45-55 ODD BIRCHFIELD CLOSE,08317092,"FASCIA ON ROOF HAS BLOWN OFF IN THE WIND, WATER LEAKING THROUGH HOLE IN ROOF COULD CAUSE DAMAGE TO LOFT.",20/04/2016, 647.44 ,6, 107.91 ,
45-55 ODD BIRCHFIELD CLOSE,08413374,REMOVAL OF GRAFFITI FROM FRONT ENTRANCE AND DRYING AREA OF 45-55 BIRCHFIELD CLOSE ON 19/04/16 (GRAFFITI REF 5399).,10/06/2016, 60.78 ,6, 10.13 ,
45-55 ODD BIRCHFIELD CLOSE,08543512,FAO 1ST CHOICE SCAFFOLDING - DOUBLE 3 STOREY TOWER ON REAR TO REPLACE MISSING CLADDING. TOWER TO RUN ALONG TO BALCONY TO REPLACE POOR PATCH REPAIR. RING ROOFERS TO MEET ON SITE.,22/08/2016, 690.69 ,6, 115.12 ,
45-55 ODD BIRCHFIELD CLOSE,08670522,SUPPLY AND FIT SITE SPECIFIC SIGNAGE TO COMPLY WITH FIRE REGULATIONS  SUPPLY AND FIT INTUMESCENT STRIPS AND SEALS TO UNDER STAIRS METER CUPD ENSURE DOORS MEET FD30,20/10/2016, 185.59 ,6, 30.93 ,
74-110 EVEN BLACKBIRD LEYS ROAD,08313940,TRACE REPAIR LEAK   FROM WALKWAY,19/04/2016, 194.16 ,10, 19.42 ,
74-110 EVEN BLACKBIRD LEYS ROAD,08717816,PLEASE FIX LOCK TO BIN STORE,14/11/2016, 22.07 ,10, 2.21 ,
74-110 EVEN BLACKBIRD LEYS ROAD,08774727, RESIDENTS ARE COMPLAINING THEY CANNOT SEE THE PATHWAY ABOVE STORE TO FLATS AS ALL TEH LIGHTS ARE OUT,07/12/2016, 94.68 ,10, 9.47 ,
124-134 EVEN BLACKBIRD LEYS ROAD,08564896,ESO LED LIGHT INSIDE SECURITY DOOR IS NOT WORKING,06/09/2016, 354.60 ,6, 59.10 ,
124-134 EVEN BLACKBIRD LEYS ROAD,08670436,SUPPLY AND FIT SITE SPECIFIC SIGNAGE TO CONFORM WITH FIRE SAFETY REGULATIONS,20/10/2016, 156.72 ,6, 26.12 ,
1-60 EVENLODE TOWER,08279376,ELECTRICAL CUPBOARD DOOR BROKEN NEEDS NEW HANDLE AND LOCK,04/04/2016, 29.03 ,60, 0.48 ,
1-60 EVENLODE TOWER,08303257,VPS - PUMP ROOM - HIRE OF ALARM & PIRS - CONTINUATION OF JOB 07733648,13/04/2016," 2,414.49 ",60, 40.24 ,
1-60 EVENLODE TOWER,08307309,EO CALLED FIRE DOOR LEVEL 9 TO ELECTRIC CUPBOARD HAS BEEN KICKED OFF.,15/04/2016, 24.27 ,60, 0.40 ,
1-60 EVENLODE TOWER,08312758,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT (FOR 3 MONTHS ONLY),19/04/2016, 113.84 ,60, 1.90 ,
1-60 EVENLODE TOWER,08424217,DRAINGAIN TO ATTEND COMPLAINS OF BAD SMELL WORSE WHEN FLAT ABOVE FLUSHES TOILET AND BATH PLUG STARTS BUBBLING POSSIBLY BLOCKED STACK ,16/06/2016, 107.53 ,60, 1.79 ,
1-60 EVENLODE TOWER,08424866, PLEASE ATTEND TO LIGHT FAILURE BY BIN STORE AND STAIRS ON LEVELS 7 AND 8.,17/06/2016, 86.60 ,60, 1.44 ,
1-60 EVENLODE TOWER,08431321,APP TUES 28TH JUNE BULBS HAVE GONE ON LEVEL 7 8 9 10 BY THE BIN SHUTS,22/06/2016, 345.40 ,60, 5.76 ,
1-60 EVENLODE TOWER,08508052,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT,03/08/2016, 304.91 ,60, 5.08 ,
